2024-03-06 14:52:36.925 [restartedMain] INFO  com.xzccc.server.ServerApplication:55 - Starting ServerApplication using Java 1.8.0_321 on LAPTOP-RGV4ES2A with PID 35480 (C:\Users\mindrank\Desktop\项目_后端\my-im\chat-server\target\classes started by mindrank in C:\Users\mindrank\Desktop\项目_后端\my-im)
2024-03-06 14:52:36.947 [restartedMain] INFO  com.xzccc.server.ServerApplication:659 - No active profile set, falling back to default profiles: default
2024-03-06 14:52:37.131 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor:255 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-03-06 14:52:37.132 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor:255 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-03-06 14:52:41.825 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode!
2024-03-06 14:52:41.832 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-03-06 14:52:41.935 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 47 ms. Found 0 Redis repository interfaces.
2024-03-06 14:52:43.747 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8081 (http)
2024-03-06 14:52:43.772 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8081"]
2024-03-06 14:52:43.773 [restartedMain] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2024-03-06 14:52:43.774 [restartedMain] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.54]
2024-03-06 14:52:43.954 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2024-03-06 14:52:43.955 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:290 - Root WebApplicationContext: initialization completed in 6820 ms
2024-03-06 14:52:45.646 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure:56 - Init DruidDataSource
2024-03-06 14:52:45.857 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource:985 - {dataSource-1} inited
2024-03-06 14:52:46.336 [restartedMain] INFO  org.redisson.Version:41 - Redisson 3.16.1
2024-03-06 14:52:47.078 [redisson-netty-4-23] INFO  o.r.connection.pool.MasterPubSubConnectionPool:166 - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2024-03-06 14:52:47.105 [redisson-netty-4-21] INFO  org.redisson.connection.pool.MasterConnectionPool:166 - 24 connections initialized for 127.0.0.1/127.0.0.1:6379
2024-03-06 14:52:54.608 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver:58 - Exposing 14 endpoint(s) beneath base path '/actuator'
2024-03-06 14:52:56.077 [restartedMain] INFO  liquibase.integration:37 - Liquibase did not run because 'shouldRun' property was set to false on liquibase Liquibase Spring bean.
2024-03-06 14:52:58.722 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer:58 - LiveReload server is running on port 35729
2024-03-06 14:53:04.669 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-8081"]
2024-03-06 14:53:04.764 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:220 - Tomcat started on port(s): 8081 (http) with context path ''
2024-03-06 14:53:07.906 [restartedMain] INFO  com.xzccc.server.ServerApplication:61 - Started ServerApplication in 32.338 seconds (JVM running for 36.589)
2024-03-06 14:53:09.047 [RMI TCP Connection(3)-192.168.120.60] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-06 14:53:09.049 [RMI TCP Connection(3)-192.168.120.60] INFO  org.springframework.web.servlet.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2024-03-06 14:53:09.126 [RMI TCP Connection(3)-192.168.120.60] INFO  org.springframework.web.servlet.DispatcherServlet:547 - Completed initialization in 76 ms
2024-03-06 14:53:38.134 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource:2032 - {dataSource-1} closing ...
2024-03-06 14:53:38.142 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource:2104 - {dataSource-1} closed
